UID,Time,EventName,Target,Info,State,Version,article,username
Windows-Chrome-548402558572186,1744305816215,keydown,div#viewerContainer,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305816239,keydown,div#viewerContainer,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305848274,mousedown,button#start-assignment,"{""which"":1,""pageX"":706,""pageY"":554}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305864193,mousedown,"div#c1.cp p","{""which"":1,""pageX"":1261,""pageY"":367}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305894483,mousedown,"div#c2.cp p","{""which"":1,""pageX"":1367,""pageY"":441}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744305942637,mousedown,"div#c5.cp p","{""which"":1,""pageX"":957,""pageY"":499}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306067307,mousedown,div.container,"{""which"":1,""pageX"":55,""pageY"":248}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306067942,keydown,body.student-facing.student-robot-facing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306068071,keydown,body.student-facing.student-robot-facing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306068142,keydown,body.student-facing.student-robot-facing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306086818,mousedown,div#student-splash,"{""which"":1,""pageX"":116,""pageY"":272}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306087183,keydown,body.student-facing.student-robot-facing.audio-playing,"{""which"":17}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306087391,keydown,body.student-facing.student-robot-facing.audio-playing,"{""which"":16}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306087504,keydown,body.student-facing.student-robot-facing.audio-playing,"{""which"":82}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306118130,mousedown,button#start-assignment,"{""which"":1,""pageX"":661,""pageY"":531}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306137407,mousedown,"div#c1.cp p","{""which"":1,""pageX"":1265,""pageY"":360}",,Robot,"Meet the Microbes",student-5
Windows-Chrome-548402558572186,1744306168761,mousedown,"div#c2.cp p","{""which"":1,""pageX"":1394,""pageY"":449}",,Robot,"Meet the Microbes",student-5
